% function evaluation | noise-free fitness - Fopt (1.491500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
201 +7.732959086e+03 +7.732959086e+03 +6.732959086e+03 +6.732959086e+03 -1.8862e+00 +1.2978e+00 -4.0752e-01 -1.6188e+00 -1.3890e+00 -5.1106e-01 -1.1258e+00 -1.8504e+00 +5.9514e-01 -1.3522e-01 -1.1010e-02 -8.1555e-02 -1.4615e+00 -2.0854e+00 +1.4879e+00 -1.4827e+00 +5.7267e-01 -2.5241e+00 -1.6246e+00 +1.8446e+00
236 +4.200787793e+03 +4.200787793e+03 +3.200787793e+03 +3.200787793e+03 -3.1092e+00 +9.1233e-01 -6.1540e-02 -2.1302e+00 -3.6328e+00 -7.5985e-01 -2.0674e+00 -6.2815e-01 -6.6256e-01 +2.8361e+00 -1.2071e+00 -1.1757e+00 -1.0366e+00 -5.1353e+00 +2.2825e-01 -1.2978e+00 +1.4979e+00 -3.6780e+00 -2.1661e+00 +5.3379e-01
258 +3.864069900e+03 +3.864069900e+03 +2.864069900e+03 +2.864069900e+03 -5.1322e+00 -7.6643e-02 +1.0601e+00 -6.3299e-01 -2.7023e+00 -2.5410e+00 -2.9097e+00 -1.6256e+00 +7.9051e-01 +2.8126e+00 -2.9776e+00 -1.9868e+00 -1.6594e+00 -3.8809e+00 +2.6931e-01 -9.0102e-01 +8.7324e-01 -2.7385e+00 -1.2422e+00 +1.4774e+00
309 +1.519748741e+03 +1.519748741e+03 +5.197487410e+02 +5.197487410e+02 -3.9747e+00 +1.1819e+00 +8.9807e-01 -2.7264e+00 -3.2051e+00 -1.9857e+00 -2.1811e+00 -1.5620e+00 +4.8383e-01 +1.4447e+00 -1.6893e+00 -3.5507e+00 -8.7505e-01 -4.2408e+00 +5.0363e-01 -2.6444e+00 +1.7652e-01 -4.0883e+00 -2.0314e+00 +1.6854e-01
432 +6.514799272e+02 +6.514799272e+02 -3.485200728e+02 -3.485200728e+02 -4.3087e+00 +1.0366e+00 +1.3358e+00 -1.5913e+00 -2.7629e+00 -1.4560e+00 -3.1394e+00 -2.6039e+00 +5.9414e-01 +2.7451e+00 -9.5465e-01 -2.1093e+00 -9.0280e-01 -2.7174e+00 +1.0770e+00 -1.1273e+00 +1.0349e+00 -2.4924e+00 -1.6417e+00 -1.0965e-01
458 +5.329939947e+02 +5.329939947e+02 -4.670060053e+02 -4.670060053e+02 -4.2244e+00 +4.7192e-01 +8.5857e-01 -1.9517e+00 -2.7949e+00 -7.7281e-01 -2.5498e+00 -2.3206e+00 +1.0899e-02 +2.1668e+00 -1.7573e+00 -1.8757e+00 -6.2955e-01 -2.4791e+00 +4.6585e-01 -1.2219e+00 +6.6284e-01 -2.6590e+00 -1.7821e+00 -2.8132e-01
495 +3.827563920e+02 +3.827563920e+02 -6.172436080e+02 -6.172436080e+02 -4.6707e+00 +7.2270e-01 +6.4523e-01 -2.0957e+00 -2.2100e+00 -1.2857e+00 -2.3251e+00 -2.0574e+00 +5.7416e-02 +1.9196e+00 -2.0924e+00 -2.3163e+00 -9.1381e-01 -3.3362e+00 +7.3561e-01 -5.7703e-01 +5.3657e-01 -2.5741e+00 -1.5253e+00 -6.3316e-01
600 +2.357977854e+02 +2.357977854e+02 -7.642022146e+02 -7.642022146e+02 -4.0073e+00 +6.7733e-01 +5.7388e-01 -2.6808e+00 -2.6623e+00 -9.5298e-01 -2.5159e+00 -1.7863e+00 +1.3830e-01 +2.3369e+00 -1.4184e+00 -2.2306e+00 -8.7405e-01 -3.2065e+00 +6.9322e-01 -1.1311e+00 +5.7583e-01 -2.7175e+00 -1.5252e+00 -5.0671e-01
764 +1.428517483e+02 +1.428517483e+02 -8.571482517e+02 -8.571482517e+02 -4.4584e+00 +6.5111e-01 +9.9523e-01 -2.1796e+00 -2.8226e+00 -1.0032e+00 -2.4454e+00 -1.6550e+00 +5.1469e-01 +1.9717e+00 -1.4892e+00 -1.7602e+00 -1.2639e+00 -3.4130e+00 +6.6663e-01 -8.9246e-01 +6.0159e-01 -2.5247e+00 -1.5395e+00 -7.1484e-01
976 +9.900172881e+01 +9.900172881e+01 -9.009982712e+02 -9.009982712e+02 -4.5619e+00 +7.2930e-01 +8.5796e-01 -2.4211e+00 -3.1560e+00 -8.4303e-01 -2.7109e+00 -2.0160e+00 +2.9441e-01 +1.9258e+00 -1.9762e+00 -2.1773e+00 -9.5591e-01 -3.2182e+00 +8.3162e-01 -7.9270e-01 +7.2623e-01 -2.4225e+00 -1.5646e+00 -6.3566e-01
