% function evaluation | noise-free fitness - Fopt (-5.494000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
686 +1.330181971e+03 +1.330181971e+03 +1.159981971e+03 +1.159981971e+03 -1.0566e+00 -1.6040e+00 +2.4708e-01 +4.5747e+00 +2.8830e+00
925 +7.133544069e+02 +7.133544069e+02 +5.431544069e+02 +5.431544069e+02 -1.2395e+00 -1.1886e+00 +2.1890e-01 +4.6838e+00 +2.7310e+00
1727 +5.163366268e+02 +5.163366268e+02 +3.461366268e+02 +3.461366268e+02 -1.7528e+00 -1.1555e+00 -1.2655e-01 +4.2906e+00 +3.1455e+00
1734 +2.616505247e+02 +2.616505247e+02 +9.145052471e+01 +9.145052471e+01 -6.1467e-01 -4.0057e-01 +6.0425e-01 +4.3944e+00 +3.3180e+00
2050 +1.716273055e+02 +1.716273055e+02 +1.427305479e+00 +1.427305479e+00 -1.4068e+00 -8.6745e-01 +7.4575e-02 +4.3740e+00 +3.0905e+00
2703 +1.052981103e+02 +1.052981103e+02 -6.490188967e+01 -6.490188967e+01 -1.3443e+00 -5.9148e-01 +1.0966e-01 +4.2721e+00 +3.2376e+00
2876 +6.710703462e+01 +6.710703462e+01 -1.030929654e+02 -1.030929654e+02 -6.6609e-01 -7.3594e-01 +5.0463e-01 +4.8184e+00 +2.5548e+00
4133 +4.063670534e+01 +4.063670534e+01 -1.295632947e+02 -1.295632947e+02 -1.9923e+00 -7.2864e-01 -3.9839e-01 +4.0677e+00 +3.2461e+00
4532 +3.305228315e+01 +3.305228315e+01 -1.371477168e+02 -1.371477168e+02 -1.8596e+00 -7.2084e-01 -3.1011e-01 +4.1106e+00 +3.2239e+00
% function evaluation | noise-free fitness - Fopt (-4.697500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.788240888e+07 +1.788240888e+07 +1.788193913e+07 +1.788193913e+07 +3.1472e+00 +4.0579e+00 -3.7301e+00 +4.1338e+00 +1.3236e+00
2 +1.003064807e+07 +1.003064807e+07 +1.003017832e+07 +1.003017832e+07 -4.0246e+00 -2.2150e+00 +4.6882e-01 +4.5751e+00 +4.6489e+00
4 +1.718182968e+06 +1.718182968e+06 +1.717713218e+06 +1.717713218e+06 -3.5811e+00 -7.8239e-01 +4.1574e+00 +2.9221e+00 +4.5949e+00
13 +6.537247940e+05 +6.537247940e+05 +6.532550440e+05 +6.532550440e+05 +2.5127e+00 -2.4490e+00 +5.9571e-02 +1.9908e+00 +3.9090e+00
22 +3.340167974e+05 +3.340167974e+05 +3.335470474e+05 +3.335470474e+05 +1.0198e+00 -2.3703e+00 +1.5408e+00 +1.8921e+00 +2.4815e+00
84 +1.847316215e+05 +1.847316215e+05 +1.842618715e+05 +1.842618715e+05 -1.9490e+00 -4.1805e+00 +4.1574e+00 +4.4443e+00 +8.6058e-03
